,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
2,нефть,ЛУК-2016-6,Район КП №186 (15м от дороги),Сургутский,73.50683333333333,62.59258333333334,земли лесного фонда,0.1703,"48300,0",нет,1905-07-08 00:00:00
3,нефть,ЛУК-2016-7,Район КП №186 (30м от дороги),Сургутский,73.50819444444444,62.5435,земли лесного фонда,0.2595,"42300,0",нет,1905-07-08 00:00:00
4,нефть,ЛУК-КГ-2018-1,т.вр.251А-т.вр.250А,Сургутский,73.34777777777778,62.61666666666667,земли лесного фонда,0.1559,"40600,0",нет,1905-07-10 00:00:00
5,нефть,ЛУК-КГ-2020-1,"""т.п.3-т.вр.1"" Ц-6 Т",Сургутский,73.54747222222223,62.55761111111111,земли лесного фонда,0.01,"48300,0",нет,2019
6,нефть,ЛУК-КГ-2020-2,"""т.вр.227Б/1-т.вр.227Б,В"" Ц-2 Икилорского л.у.                ",Сургутский,73.98339722222222,62.129352777777775,земли лесного фонда,0.005,"42300,0",нет,2019
8,нефть,ЛУК-КГ-2020-3,Район КП№11  Ц-7         ,Сургутский,74.70408333333333,62.13941666666667,земли лесного фонда,0.0115,66590,нет,2020
9,нефть,ЛУК-КГ-2020-4,Район между КП№11 и КП №26 Ц-7,Сургутский,74.72469444444445,62.15038888888889,земли лесного фонда,0.0042,65885,нет,2020
10,нефть,ЛУК-КГ-2020-5,Район поворота на КП№26 Ц-7,Сургутский,74.73075,62.15247222222222,земли лесного фонда,0.0129,68240,нет,2020
11,нефть,ЛУК-КГ-2020-6,"КП№18-т.вр.4А"" Ц-7",Сургутский,74.66573611111112,62.120308333333334,земли лесного фонда,0.094,57950,нет,2020
12,нефть,ЛУК-КГ-2020-7,"КП№18-т.вр.4А"" Ц-7 ",Сургутский,74.66216944444444,62.11113888888889,земли лесного фонда,0.7178,25992,нет,2020
13,нефть,ЛУК-КГ-2020-8,"КП№18-т.вр.4А"" Ц-7",Сургутский,74.67059166666667,62.11746111111111,земли лесного фонда,0.0042,26870,нет,2020
14,нефть,ЛУК-КГ-2020-9,"КП№18-т.вр.4А"" Ц-7",Сургутский,74.67008750000001,62.11763055555556,земли лесного фонда,0.0098,26870,нет,2020
